"","Date","EUA","NZU","CCA","HBEA"
"73",2005-06-17,20.4,NA,NA,NA
"74",2005-06-20,22,NA,NA,NA
"75",2005-06-21,22.8,NA,NA,NA
"76",2005-06-22,22.95,NA,NA,NA
"77",2005-06-23,22.85,NA,NA,NA
"78",2005-06-24,23.02,NA,NA,NA
"79",2005-06-27,23.15,NA,NA,NA
"80",2005-06-28,23.85,NA,NA,NA
"81",2005-06-29,24.1,NA,NA,NA
"82",2005-06-30,25.3,NA,NA,NA
"83",2005-07-01,25.76,NA,NA,NA
"84",2005-07-04,27.84,NA,NA,NA
"85",2005-07-05,28.66,NA,NA,NA
"86",2005-07-06,28.72,NA,NA,NA
"87",2005-07-07,29.03,NA,NA,NA
"88",2005-07-08,28.81,NA,NA,NA
"89",2005-07-11,29,NA,NA,NA
"90",2005-07-12,28.8,NA,NA,NA
"91",2005-07-13,28.65,NA,NA,NA
"92",2005-07-14,25.55,NA,NA,NA
"93",2005-07-15,25.55,NA,NA,NA
"94",2005-07-18,23.94,NA,NA,NA
"95",2005-07-19,23.91,NA,NA,NA
"96",2005-07-20,23.1,NA,NA,NA
"97",2005-07-21,21,NA,NA,NA
"98",2005-07-22,18,NA,NA,NA
"99",2005-07-25,19.5,NA,NA,NA
"100",2005-07-26,20.01,NA,NA,NA
"101",2005-07-27,20.9,NA,NA,NA
"102",2005-07-28,21.35,NA,NA,NA
"103",2005-07-29,22,NA,NA,NA
"104",2005-08-01,22.02,NA,NA,NA
"105",2005-08-02,21.2,NA,NA,NA
"106",2005-08-03,20.54,NA,NA,NA
"107",2005-08-04,19.91,NA,NA,NA
"108",2005-08-05,20.8,NA,NA,NA
"109",2005-08-08,21.48,NA,NA,NA
"110",2005-08-09,21.99,NA,NA,NA
"111",2005-08-10,21.9,NA,NA,NA
"112",2005-08-11,22.43,NA,NA,NA
"113",2005-08-12,22.33,NA,NA,NA
"114",2005-08-15,21.95,NA,NA,NA
"115",2005-08-16,21.92,NA,NA,NA
"116",2005-08-17,22.4,NA,NA,NA
"117",2005-08-18,22.26,NA,NA,NA
"118",2005-08-19,22.43,NA,NA,NA
"119",2005-08-22,22.65,NA,NA,NA
"120",2005-08-23,22.56,NA,NA,NA
"121",2005-08-24,22.69,NA,NA,NA
"122",2005-08-25,22.98,NA,NA,NA
"123",2005-08-26,23.08,NA,NA,NA
"124",2005-08-29,23.3,NA,NA,NA
"125",2005-08-30,23.2,NA,NA,NA
"126",2005-08-31,23.53,NA,NA,NA
"127",2005-09-01,24.2,NA,NA,NA
"128",2005-09-02,24.4,NA,NA,NA
"129",2005-09-05,24.35,NA,NA,NA
"130",2005-09-06,24.32,NA,NA,NA
"131",2005-09-07,24.35,NA,NA,NA
"132",2005-09-08,23.98,NA,NA,NA
"133",2005-09-09,23.6,NA,NA,NA
"134",2005-09-12,22.25,NA,NA,NA
"135",2005-09-13,21.55,NA,NA,NA
"136",2005-09-14,22.35,NA,NA,NA
"137",2005-09-15,22.55,NA,NA,NA
"138",2005-09-16,21.9,NA,NA,NA
"139",2005-09-19,22.13,NA,NA,NA
"140",2005-09-20,22,NA,NA,NA
"141",2005-09-21,21.98,NA,NA,NA
"142",2005-09-22,22.2,NA,NA,NA
"143",2005-09-23,22,NA,NA,NA
"144",2005-09-26,21.45,NA,NA,NA
"145",2005-09-27,22.03,NA,NA,NA
"146",2005-09-28,22.65,NA,NA,NA
"147",2005-09-29,22.8,NA,NA,NA
"148",2005-09-30,22.7,NA,NA,NA
"149",2005-10-03,22.7,NA,NA,NA
"150",2005-10-04,23.24,NA,NA,NA
"151",2005-10-05,23.95,NA,NA,NA
"152",2005-10-06,23.68,NA,NA,NA
"153",2005-10-07,23.1,NA,NA,NA
"154",2005-10-10,23.1,NA,NA,NA
"155",2005-10-11,23.15,NA,NA,NA
"156",2005-10-12,23.43,NA,NA,NA
"157",2005-10-13,23.43,NA,NA,NA
"158",2005-10-14,23.1,NA,NA,NA
"159",2005-10-17,23.1,NA,NA,NA
"160",2005-10-18,22.78,NA,NA,NA
"161",2005-10-19,22.45,NA,NA,NA
"162",2005-10-20,22.18,NA,NA,NA
"163",2005-10-21,21.8,NA,NA,NA
"164",2005-10-24,21.43,NA,NA,NA
"165",2005-10-25,21.43,NA,NA,NA
"166",2005-10-26,21.7,NA,NA,NA
"167",2005-10-27,21.77,NA,NA,NA
"168",2005-10-28,22.06,NA,NA,NA
"169",2005-10-31,22.13,NA,NA,NA
"170",2005-11-01,21.85,NA,NA,NA
"171",2005-11-02,21.5,NA,NA,NA
"172",2005-11-03,21.28,NA,NA,NA
"173",2005-11-04,21.43,NA,NA,NA
"174",2005-11-07,21.62,NA,NA,NA
"175",2005-11-08,22.08,NA,NA,NA
"176",2005-11-09,22.55,NA,NA,NA
"177",2005-11-10,22.68,NA,NA,NA
"178",2005-11-11,22.67,NA,NA,NA
"179",2005-11-14,23.15,NA,NA,NA
"180",2005-11-15,22.88,NA,NA,NA
"181",2005-11-16,22.67,NA,NA,NA
"182",2005-11-17,22.53,NA,NA,NA
"183",2005-11-18,21.78,NA,NA,NA
"184",2005-11-21,21.58,NA,NA,NA
"185",2005-11-22,21.99,NA,NA,NA
"186",2005-11-23,21.35,NA,NA,NA
"187",2005-11-24,19.7,NA,NA,NA
"188",2005-11-25,20.14,NA,NA,NA
"189",2005-11-28,20.07,NA,NA,NA
"190",2005-11-29,19.63,NA,NA,NA
"191",2005-11-30,19.75,NA,NA,NA
"192",2005-12-01,20.07,NA,NA,NA
"193",2005-12-02,21.25,NA,NA,NA
"194",2005-12-05,22,NA,NA,NA
"195",2005-12-06,22.1,NA,NA,NA
"196",2005-12-07,21.9,NA,NA,NA
"197",2005-12-08,21.18,NA,NA,NA
"198",2005-12-09,20.63,NA,NA,NA
"199",2005-12-12,21.3,NA,NA,NA
"200",2005-12-13,21.7,NA,NA,NA
"201",2005-12-14,21.35,NA,NA,NA
"202",2005-12-15,21.47,NA,NA,NA
"203",2005-12-16,21.18,NA,NA,NA
"204",2005-12-19,21.2,NA,NA,NA
"205",2005-12-20,20.93,NA,NA,NA
"206",2005-12-21,20.65,NA,NA,NA
"207",2005-12-22,20.58,NA,NA,NA
"208",2005-12-23,20.7,NA,NA,NA
"209",2005-12-26,20.7,NA,NA,NA
"210",2005-12-27,20.78,NA,NA,NA
"211",2005-12-28,20.98,NA,NA,NA
"212",2005-12-29,21.1,NA,NA,NA
"213",2005-12-30,21.15,NA,NA,NA
"214",2006-01-02,22.33,NA,NA,NA
"215",2006-01-03,21.75,NA,NA,NA
"216",2006-01-04,22,NA,NA,NA
"217",2006-01-05,22.42,NA,NA,NA
"218",2006-01-06,22.98,NA,NA,NA
"219",2006-01-09,22.62,NA,NA,NA
"220",2006-01-10,22.59,NA,NA,NA
"221",2006-01-11,22.8,NA,NA,NA
"222",2006-01-12,22.8,NA,NA,NA
"223",2006-01-13,22.83,NA,NA,NA
"224",2006-01-16,22.77,NA,NA,NA
"225",2006-01-17,23.86,NA,NA,NA
"226",2006-01-18,24.83,NA,NA,NA
"227",2006-01-19,24.88,NA,NA,NA
"228",2006-01-20,26.23,NA,NA,NA
"229",2006-01-23,25.37,NA,NA,NA
"230",2006-01-24,24.78,NA,NA,NA
"231",2006-01-25,25.14,NA,NA,NA
"232",2006-01-26,25.94,NA,NA,NA
"233",2006-01-27,25.35,NA,NA,NA
"234",2006-01-30,25.92,NA,NA,NA
"235",2006-01-31,25.95,NA,NA,NA
"236",2006-02-01,26.25,NA,NA,NA
"237",2006-02-02,26.9,NA,NA,NA
"238",2006-02-03,27.22,NA,NA,NA
"239",2006-02-06,26.96,NA,NA,NA
"240",2006-02-07,25.9,NA,NA,NA
"241",2006-02-08,25.4,NA,NA,NA
"242",2006-02-09,25.77,NA,NA,NA
"243",2006-02-10,26.01,NA,NA,NA
"244",2006-02-13,25.59,NA,NA,NA
"245",2006-02-14,25.68,NA,NA,NA
"246",2006-02-15,26.02,NA,NA,NA
"247",2006-02-16,26.18,NA,NA,NA
"248",2006-02-17,26.18,NA,NA,NA
"249",2006-02-20,26.52,NA,NA,NA
"250",2006-02-21,26.67,NA,NA,NA
"251",2006-02-22,26.84,NA,NA,NA
"252",2006-02-23,26.1,NA,NA,NA
"253",2006-02-24,26.19,NA,NA,NA
"254",2006-02-27,25.9,NA,NA,NA
"255",2006-02-28,25.7,NA,NA,NA
"256",2006-03-01,26.23,NA,NA,NA
"257",2006-03-02,26.54,NA,NA,NA
"258",2006-03-03,26.6,NA,NA,NA
"259",2006-03-06,26.53,NA,NA,NA
"260",2006-03-07,26.1,NA,NA,NA
"261",2006-03-08,26.27,NA,NA,NA
"262",2006-03-09,26.18,NA,NA,NA
"263",2006-03-10,26.33,NA,NA,NA
"264",2006-03-13,26.75,NA,NA,NA
"265",2006-03-14,26.61,NA,NA,NA
"266",2006-03-15,26.43,NA,NA,NA
"267",2006-03-16,26.14,NA,NA,NA
"268",2006-03-17,26.3,NA,NA,NA
"269",2006-03-20,26.49,NA,NA,NA
"270",2006-03-21,26.55,NA,NA,NA
"271",2006-03-22,26.5,NA,NA,NA
"272",2006-03-23,26.53,NA,NA,NA
"273",2006-03-24,26.4,NA,NA,NA
"274",2006-03-27,26.15,NA,NA,NA
"275",2006-03-28,26.31,NA,NA,NA
"276",2006-03-29,26.54,NA,NA,NA
"277",2006-03-30,26.69,NA,NA,NA
"278",2006-03-31,26.69,NA,NA,NA
"279",2006-04-03,26.73,NA,NA,NA
"280",2006-04-04,26.94,NA,NA,NA
"281",2006-04-05,27.85,NA,NA,NA
"282",2006-04-06,28.43,NA,NA,NA
"283",2006-04-07,28.24,NA,NA,NA
"284",2006-04-10,28.4,NA,NA,NA
"285",2006-04-11,28.75,NA,NA,NA
"286",2006-04-12,28.77,NA,NA,NA
"287",2006-04-13,28.63,NA,NA,NA
"288",2006-04-14,28.63,NA,NA,NA
"289",2006-04-17,28.63,NA,NA,NA
"290",2006-04-18,29.78,NA,NA,NA
"291",2006-04-19,29.7,NA,NA,NA
"292",2006-04-20,29.43,NA,NA,NA
"293",2006-04-21,28.95,NA,NA,NA
"294",2006-04-24,29.37,NA,NA,NA
"295",2006-04-25,26.9,NA,NA,NA
"296",2006-04-26,21.5,NA,NA,NA
"297",2006-04-27,16.23,NA,NA,NA
"298",2006-04-28,13.38,NA,NA,NA
"299",2006-05-01,13.38,NA,NA,NA
"300",2006-05-02,10.96,NA,NA,NA
"301",2006-05-03,11.96,NA,NA,NA
"302",2006-05-04,14.22,NA,NA,NA
"303",2006-05-05,12.73,NA,NA,NA
"304",2006-05-08,11.92,NA,NA,NA
"305",2006-05-09,12,NA,NA,NA
"306",2006-05-10,13.03,NA,NA,NA
"307",2006-05-11,12.65,NA,NA,NA
"308",2006-05-12,9.13,NA,NA,NA
"309",2006-05-15,14.95,NA,NA,NA
"310",2006-05-16,16.33,NA,NA,NA
"311",2006-05-17,15.5,NA,NA,NA
"312",2006-05-18,15.48,NA,NA,NA
"313",2006-05-19,16.01,NA,NA,NA
"314",2006-05-22,17.86,NA,NA,NA
"315",2006-05-23,19.16,NA,NA,NA
"316",2006-05-24,18.73,NA,NA,NA
"317",2006-05-25,18.73,NA,NA,NA
"318",2006-05-26,18.6,NA,NA,NA
"319",2006-05-29,18.35,NA,NA,NA
"320",2006-05-30,17.43,NA,NA,NA
"321",2006-05-31,16.48,NA,NA,NA
"322",2006-06-01,15.95,NA,NA,NA
"323",2006-06-02,15.88,NA,NA,NA
"324",2006-06-05,15.88,NA,NA,NA
"325",2006-06-06,15.53,NA,NA,NA
"326",2006-06-07,14.65,NA,NA,NA
"327",2006-06-08,14.11,NA,NA,NA
"328",2006-06-09,13.8,NA,NA,NA
"329",2006-06-12,14.75,NA,NA,NA
"330",2006-06-13,14.8,NA,NA,NA
"331",2006-06-14,14.53,NA,NA,NA
"332",2006-06-15,14.57,NA,NA,NA
"333",2006-06-16,14.7,NA,NA,NA
"334",2006-06-19,14.9,NA,NA,NA
"335",2006-06-20,15.5,NA,NA,NA
"336",2006-06-21,15.09,NA,NA,NA
"337",2006-06-22,15.28,NA,NA,NA
"338",2006-06-23,15.13,NA,NA,NA
"339",2006-06-26,14.67,NA,NA,NA
"340",2006-06-27,14.9,NA,NA,NA
"341",2006-06-28,15.23,NA,NA,NA
"342",2006-06-29,15.57,NA,NA,NA
"343",2006-06-30,15.68,NA,NA,NA
"344",2006-07-03,15.88,NA,NA,NA
"345",2006-07-04,15.81,NA,NA,NA
"346",2006-07-05,15.78,NA,NA,NA
"347",2006-07-06,16.05,NA,NA,NA
"348",2006-07-07,15.98,NA,NA,NA
"349",2006-07-10,16.04,NA,NA,NA
"350",2006-07-11,16.19,NA,NA,NA
"351",2006-07-12,16.23,NA,NA,NA
"352",2006-07-13,16.25,NA,NA,NA
"353",2006-07-14,16.4,NA,NA,NA
"354",2006-07-17,17.13,NA,NA,NA
"355",2006-07-18,16.9,NA,NA,NA
"356",2006-07-19,16.38,NA,NA,NA
"357",2006-07-20,16.57,NA,NA,NA
"358",2006-07-21,16.53,NA,NA,NA
"359",2006-07-24,16.38,NA,NA,NA
"360",2006-07-25,16.08,NA,NA,NA
"361",2006-07-26,16.26,NA,NA,NA
"362",2006-07-27,16.49,NA,NA,NA
"363",2006-07-28,15.98,NA,NA,NA
"364",2006-07-31,16.02,NA,NA,NA
"365",2006-08-01,16.23,NA,NA,NA
"366",2006-08-02,16.29,NA,NA,NA
"367",2006-08-03,15.97,NA,NA,NA
"368",2006-08-04,15.17,NA,NA,NA
"369",2006-08-07,15.55,NA,NA,NA
"370",2006-08-08,15.65,NA,NA,NA
"371",2006-08-09,15.62,NA,NA,NA
"372",2006-08-10,15.54,NA,NA,NA
"373",2006-08-11,15.63,NA,NA,NA
"374",2006-08-14,15.47,NA,NA,NA
"375",2006-08-15,15.4,NA,NA,NA
"376",2006-08-16,15.54,NA,NA,NA
"377",2006-08-17,15.64,NA,NA,NA
"378",2006-08-18,15.75,NA,NA,NA
"379",2006-08-21,16.4,NA,NA,NA
"380",2006-08-22,16.72,NA,NA,NA
"381",2006-08-23,16.58,NA,NA,NA
"382",2006-08-24,16.17,NA,NA,NA
"383",2006-08-25,16.1,NA,NA,NA
"384",2006-08-28,16.04,NA,NA,NA
"385",2006-08-29,15.85,NA,NA,NA
"386",2006-08-30,15.57,NA,NA,NA
"387",2006-08-31,15.73,NA,NA,NA
"388",2006-09-01,15.83,NA,NA,NA
"389",2006-09-04,16.15,NA,NA,NA
"390",2006-09-05,16.34,NA,NA,NA
"391",2006-09-06,16.41,NA,NA,NA
"392",2006-09-07,16.29,NA,NA,NA
"393",2006-09-08,16.23,NA,NA,NA
"394",2006-09-11,16.05,NA,NA,NA
"395",2006-09-12,16.17,NA,NA,NA
"396",2006-09-13,16.1,NA,NA,NA
"397",2006-09-14,16.14,NA,NA,NA
"398",2006-09-15,16.15,NA,NA,NA
"399",2006-09-18,16.08,NA,NA,NA
"400",2006-09-19,15.55,NA,NA,NA
"401",2006-09-20,13.95,NA,NA,NA
"402",2006-09-21,13.58,NA,NA,NA
"403",2006-09-22,13.48,NA,NA,NA
"404",2006-09-25,12.6,NA,NA,NA
"405",2006-09-26,11.65,NA,NA,NA
"406",2006-09-27,12,NA,NA,NA
"407",2006-09-28,12.45,NA,NA,NA
"408",2006-09-29,12.85,NA,NA,NA
"409",2006-10-02,12.35,NA,NA,NA
"410",2006-10-03,12.35,NA,NA,NA
"411",2006-10-04,11.84,NA,NA,NA
"412",2006-10-05,12.01,NA,NA,NA
"413",2006-10-06,11.97,NA,NA,NA
"414",2006-10-09,12.28,NA,NA,NA
"415",2006-10-10,12.41,NA,NA,NA
"416",2006-10-11,12.32,NA,NA,NA
"417",2006-10-12,12.34,NA,NA,NA
"418",2006-10-13,12.42,NA,NA,NA
"419",2006-10-16,12.36,NA,NA,NA
"420",2006-10-17,12.67,NA,NA,NA
"421",2006-10-18,12.77,NA,NA,NA
"422",2006-10-19,12.78,NA,NA,NA
"423",2006-10-20,12.72,NA,NA,NA
"424",2006-10-23,12.49,NA,NA,NA
"425",2006-10-24,12.47,NA,NA,NA
"426",2006-10-25,11.93,NA,NA,NA
"427",2006-10-26,12.08,NA,NA,NA
"428",2006-10-27,11.73,NA,NA,NA
"429",2006-10-30,10.75,NA,NA,NA
"430",2006-10-31,10.73,NA,NA,NA
"431",2006-11-01,11.1,NA,NA,NA
"432",2006-11-02,10.71,NA,NA,NA
"433",2006-11-03,10.58,NA,NA,NA
"434",2006-11-06,10.33,NA,NA,NA
"435",2006-11-07,9.38,NA,NA,NA
"436",2006-11-08,9.45,NA,NA,NA
"437",2006-11-09,9.49,NA,NA,NA
"438",2006-11-10,8.64,NA,NA,NA
"439",2006-11-13,8.36,NA,NA,NA
"440",2006-11-14,9.09,NA,NA,NA
"441",2006-11-15,9.06,NA,NA,NA
"442",2006-11-16,8.57,NA,NA,NA
"443",2006-11-17,8.58,NA,NA,NA
"444",2006-11-20,8.56,NA,NA,NA
"445",2006-11-21,8.68,NA,NA,NA
"446",2006-11-22,8.66,NA,NA,NA
"447",2006-11-23,8.71,NA,NA,NA
"448",2006-11-24,9.03,NA,NA,NA
"449",2006-11-27,8.9,NA,NA,NA
"450",2006-11-28,8.57,NA,NA,NA
"451",2006-11-29,8.08,NA,NA,NA
"452",2006-11-30,7.87,NA,NA,NA
"453",2006-12-01,7.33,NA,NA,NA
"454",2006-12-04,6.93,NA,NA,NA
"455",2006-12-05,6.7,NA,NA,NA
"456",2006-12-06,7.06,NA,NA,NA
"457",2006-12-07,7.28,NA,NA,NA
"458",2006-12-08,7.19,NA,NA,NA
"459",2006-12-11,7.01,NA,NA,NA
"460",2006-12-12,6.8,NA,NA,NA
"461",2006-12-13,6.42,NA,NA,NA
"462",2006-12-14,6.35,NA,NA,NA
"463",2006-12-15,6.53,NA,NA,NA
"464",2006-12-18,6.52,NA,NA,NA
"465",2006-12-19,6.54,NA,NA,NA
"466",2006-12-20,6.54,NA,NA,NA
"467",2006-12-21,6.62,NA,NA,NA
"468",2006-12-22,6.85,NA,NA,NA
"469",2006-12-25,6.85,NA,NA,NA
"470",2006-12-26,6.85,NA,NA,NA
"471",2006-12-27,6.6,NA,NA,NA
"472",2006-12-28,6.59,NA,NA,NA
"473",2006-12-29,6.55,NA,NA,NA
"474",2007-01-01,6.55,NA,NA,NA
"475",2007-01-02,5.53,NA,NA,NA
"476",2007-01-03,4.93,NA,NA,NA
"477",2007-01-04,4.83,NA,NA,NA
"478",2007-01-05,4.8,NA,NA,NA
"479",2007-01-08,3.87,NA,NA,NA
"480",2007-01-09,3.54,NA,NA,NA
"481",2007-01-10,3.81,NA,NA,NA
"482",2007-01-11,4.03,NA,NA,NA
"483",2007-01-12,3.99,NA,NA,NA
"484",2007-01-15,4.2,NA,NA,NA
"485",2007-01-16,4.23,NA,NA,NA
"486",2007-01-17,4.1,NA,NA,NA
"487",2007-01-18,3.93,NA,NA,NA
"488",2007-01-19,3.9,NA,NA,NA
"489",2007-01-22,3.83,NA,NA,NA
"490",2007-01-23,3.67,NA,NA,NA
"491",2007-01-24,3.41,NA,NA,NA
"492",2007-01-25,3.24,NA,NA,NA
"493",2007-01-26,3,NA,NA,NA
"494",2007-01-29,2.38,NA,NA,NA
"495",2007-01-30,2.36,NA,NA,NA
"496",2007-01-31,2.28,NA,NA,NA
"497",2007-02-01,2.18,NA,NA,NA
"498",2007-02-02,2.03,NA,NA,NA
"499",2007-02-05,1.73,NA,NA,NA
"500",2007-02-06,1.4,NA,NA,NA
"501",2007-02-07,1.33,NA,NA,NA
"502",2007-02-08,1.44,NA,NA,NA
"503",2007-02-09,1.55,NA,NA,NA
"504",2007-02-12,1.38,NA,NA,NA
"505",2007-02-13,1.22,NA,NA,NA
"506",2007-02-14,1.16,NA,NA,NA
"507",2007-02-15,1.1,NA,NA,NA
"508",2007-02-16,1.06,NA,NA,NA
"509",2007-02-19,0.82,NA,NA,NA
"510",2007-02-20,0.78,NA,NA,NA
"511",2007-02-21,0.9,NA,NA,NA
"512",2007-02-22,0.78,NA,NA,NA
"513",2007-02-23,0.85,NA,NA,NA
"514",2007-02-26,0.9,NA,NA,NA
"515",2007-02-27,0.91,NA,NA,NA
"516",2007-02-28,0.94,NA,NA,NA
"517",2007-03-01,0.94,NA,NA,NA
"518",2007-03-02,1.04,NA,NA,NA
"519",2007-03-05,0.95,NA,NA,NA
"520",2007-03-06,0.99,NA,NA,NA
"521",2007-03-07,1.08,NA,NA,NA
"522",2007-03-08,1.08,NA,NA,NA
"523",2007-03-09,1.3,NA,NA,NA
"524",2007-03-12,1.28,NA,NA,NA
"525",2007-03-13,1.25,NA,NA,NA
"526",2007-03-14,1.18,NA,NA,NA
"527",2007-03-15,1.1,NA,NA,NA
"528",2007-03-16,1.15,NA,NA,NA
"529",2007-03-19,1.08,NA,NA,NA
"530",2007-03-20,0.99,NA,NA,NA
"531",2007-03-21,1,NA,NA,NA
"532",2007-03-22,0.98,NA,NA,NA
"533",2007-03-23,0.97,NA,NA,NA
"534",2007-03-26,0.96,NA,NA,NA
"535",2007-03-27,0.99,NA,NA,NA
"536",2007-03-28,1.13,NA,NA,NA
"537",2007-03-29,1.33,NA,NA,NA
"538",2007-03-30,1.25,NA,NA,NA
"539",2007-04-02,0.94,NA,NA,NA
"540",2007-04-03,0.86,NA,NA,NA
"541",2007-04-04,0.8,NA,NA,NA
"542",2007-04-05,0.78,NA,NA,NA
"543",2007-04-06,0.78,NA,NA,NA
"544",2007-04-09,0.78,NA,NA,NA
"545",2007-04-10,0.8,NA,NA,NA
"546",2007-04-11,0.79,NA,NA,NA
"547",2007-04-12,0.79,NA,NA,NA
"548",2007-04-13,0.73,NA,NA,NA
"549",2007-04-16,0.7,NA,NA,NA
"550",2007-04-17,0.66,NA,NA,NA
"551",2007-04-18,0.52,NA,NA,NA
"552",2007-04-19,0.47,NA,NA,NA
"553",2007-04-20,0.58,NA,NA,NA
"554",2007-04-23,0.64,NA,NA,NA
"555",2007-04-24,0.64,NA,NA,NA
"556",2007-04-25,0.62,NA,NA,NA
"557",2007-04-26,0.55,NA,NA,NA
"558",2007-04-27,0.52,NA,NA,NA
"559",2007-04-30,0.5,NA,NA,NA
"560",2007-05-01,0.5,NA,NA,NA
"561",2007-05-02,0.5,NA,NA,NA
"562",2007-05-03,0.49,NA,NA,NA
"563",2007-05-04,0.5,NA,NA,NA
"564",2007-05-07,0.5,NA,NA,NA
"565",2007-05-08,0.47,NA,NA,NA
"566",2007-05-09,0.41,NA,NA,NA
"567",2007-05-10,0.27,NA,NA,NA
"568",2007-05-11,0.29,NA,NA,NA
"569",2007-05-14,0.3,NA,NA,NA
"570",2007-05-15,0.26,NA,NA,NA
"571",2007-05-16,0.28,NA,NA,NA
"572",2007-05-17,0.28,NA,NA,NA
"573",2007-05-18,0.27,NA,NA,NA
"574",2007-05-21,0.27,NA,NA,NA
"575",2007-05-22,0.27,NA,NA,NA
"576",2007-05-23,0.27,NA,NA,NA
"577",2007-05-24,0.28,NA,NA,NA
"578",2007-05-25,0.26,NA,NA,NA
"579",2007-05-28,0.26,NA,NA,NA
"580",2007-05-29,0.25,NA,NA,NA
"581",2007-05-30,0.24,NA,NA,NA
"582",2007-05-31,0.24,NA,NA,NA
"583",2007-06-01,0.24,NA,NA,NA
"584",2007-06-04,0.24,NA,NA,NA
"585",2007-06-05,0.25,NA,NA,NA
"586",2007-06-06,0.26,NA,NA,NA
"587",2007-06-07,0.24,NA,NA,NA
"588",2007-06-08,0.25,NA,NA,NA
"589",2007-06-11,0.23,NA,NA,NA
"590",2007-06-12,0.21,NA,NA,NA
"591",2007-06-13,0.19,NA,NA,NA
"592",2007-06-14,0.16,NA,NA,NA
"593",2007-06-15,0.15,NA,NA,NA
"594",2007-06-18,0.12,NA,NA,NA
"595",2007-06-19,0.12,NA,NA,NA
"596",2007-06-20,0.12,NA,NA,NA
"597",2007-06-21,0.11,NA,NA,NA
"598",2007-06-22,0.1,NA,NA,NA
"599",2007-06-25,0.08,NA,NA,NA
"600",2007-06-26,0.1,NA,NA,NA
"601",2007-06-27,0.11,NA,NA,NA
"602",2007-06-28,0.11,NA,NA,NA
"603",2007-06-29,0.12,NA,NA,NA
"604",2007-07-02,0.12,NA,NA,NA
"605",2007-07-03,0.11,NA,NA,NA
"606",2007-07-04,0.1,NA,NA,NA
"607",2007-07-05,0.1,NA,NA,NA
"608",2007-07-06,0.13,NA,NA,NA
